Account Number,Meter ID,Service Address,Billing Period Start,Billing Period End,kWh,Demand (kW),Tariff,Supplier,Country,Currency,Amount
ACC-001,MTR-HQ-01,HQ Tower Floor 1-5,2024-01-01,2024-01-31,45000,120.5,LT-Commercial,TATA Power,IN,INR,225000
ACC-002,MTR-HQ-02,HQ Tower Floor 6-10,2024-01-01,2024-01-31,38500,98.2,LT-Commercial,TATA Power,IN,INR,192500
ACC-003,MTR-WH-01,Warehouse Mumbai,2024-01-01,2024-01-31,12000,35.0,HT-Industrial,MSEDCL,IN,INR,72000
ACC-004,MTR-PU-01,Satellite Office Pune,2024-01-01,2024-01-31,0,0.0,LT-Commercial,MSEDCL,IN,INR,500
ACC-005,MTR-DC-01,Data Centre Delhi,2024-01-01,2024-01-31,620000,1850.0,HT-Industrial,BSES Rajdhani,IN,INR,5580000
ACC-006,MTR-FC-01,Factory Bangalore,2024-01-01,2024-01-31,9500,28.5,LT-Industrial,BESCOM,IN,INR,66500
ACC-001,MTR-HQ-01,HQ Tower Floor 1-5,2024-02-01,2024-02-29,42000,115.0,LT-Commercial,TATA Power,IN,INR,210000
ACC-002,MTR-HQ-02,HQ Tower Floor 6-10,2024-02-01,2024-02-29,36200,94.0,LT-Commercial,TATA Power,IN,INR,181000
ACC-003,MTR-WH-01,Warehouse Mumbai,2024-02-01,2024-02-29,11800,33.5,HT-Industrial,MSEDCL,IN,INR,70800
ACC-007,MTR-HR-01,Chennai Regional Office,2024-01-01,2024-02-28,28000,75.0,LT-Commercial,TANGEDCO,IN,INR,168000
